id,ident,type,name,latitude_deg,longitude_deg,elevation_ft
354409,CN-0326,heliport,Duncan Island Helipads (8x),16.454072,111.706774,
354410,CN-0327,heliport,Triton Island Helipad,15.782962,111.198909,
354503,CN-0328,heliport,Poiice Helipad (2x),22.839537,108.146067,
354507,CN-0329,closed,Airport (under construction),46.018127,85.655293,
354508,CN-0330,closed,Airport (under construction),39.886494,98.699198,
354509,CN-0331,medium_airport,Jiuzhou Airport,26.998259,107.759571,
354511,CN-0332,small_airport,Industrial Airport 601,32.389746,112.140112,
354512,CN-0333,small_airport,Military access runway,40.874146,109.577272,
354513,CN-0334,heliport,Military Heliport Runway (9x),30.845646,104.679322,
354520,CN-0335,heliport,Military Helipad,46.885902,85.172099,
354521,CN-0336,small_airport,Runway 07,34.763616,119.434175,
354522,CN-0337,heliport,Military Helipad,34.751857,119.461384,
354526,CN-0338,heliport,Military Helipads (7x),32.496307,80.07176,
354535,CN-0339,closed,Parking Space (old runway),26.081898,119.604732,
354536,CN-0340,closed,Airport (under construction),34.543045,116.298608,
354648,CN-0341,small_airport,Private Runway,37.234774,79.34206,
354650,CN-0342,small_airport,Military Heliport Runway (8x),36.343009,78.033335,
354651,CN-0343,heliport,Prison Runway Helipad,38.356549,77.261374,
354657,CN-0344,medium_airport,Paozhuwan Air Base,30.673944,114.63089,
354658,CN-0345,medium_airport,Shanpo Air Base,30.087612,114.31366,
354660,CN-0346,small_airport,Desert Runway,39.010014,83.608618,
354722,CN-0347,closed,Ruijin Airport (under construction),25.958108,116.078805,
354884,CN-0348,heliport,Industrial Helipad,40.583306,93.394014,
354893,CN-0349,heliport,Military Helipad,41.763301,87.423469,
354907,CN-0350,heliport,Industrial Helipads (3x),40.467886,90.888053,
354929,CN-0351,small_airport,Deser Military Airport,40.767539,89.275245,
354931,CN-0352,small_airport,Old Runway,40.694827,89.075604,
354995,CN-0353,medium_airport,Zhanjiang Wuchuan Airport,21.481667,110.590278,
43974,CN-JNZ,medium_airport,Sanshilipu Air Base,39.289671,121.762195,
32048,CN-NTG,medium_airport,Nantong Xingdong International Airport,32.070801,120.975998,16.0
16821,CN01,heliport,Mendocino Coast District Hospital Heliport,39.431876,-123.799621,108.0
45313,CN02,heliport,San Francisco VA Medical Center Heliport,37.783331,-122.506389,350.0
45308,CN06,heliport,Sonoma Raceway Heliport Pad 2,38.155081,-122.450692,110.0
16822,CN10,heliport,Mono County Medical Heliport,38.252336,-119.230199,6450.0
16823,CN11,heliport,Uc Davis Medical Center Life Flight Base Heliport,38.55110168457031,-121.45099639892578,32.0
16824,CN12,small_airport,Williams Gliderport,39.16350173950195,-122.13200378417967,68.0
16825,CN13,small_airport,Borges - Clarksburg Airport,38.4431991577,-121.509002686,12.0
16826,CN14,heliport,Queen of the Valley Hospital Heliport,38.32386,-122.297165,49.0
16827,CN15,small_airport,Vineyard Oaks Farm Airport,36.36920166015625,-119.78600311279295,210.0
322363,CN16,heliport,Mercy Hospital of Folsom Heliport,38.670861,-121.142839,335.0
16828,CN17,heliport,Rady Childrens Hospital Helipad,32.798675,-117.151868,445.0
333338,CN18,heliport,San Bernardino Community Hospital Heliport,34.130694,-117.321667,1213.0
16829,CN19,small_airport,Las Serpientes Airport,37.933101654052734,-121.61299896240234,10.0
16830,CN20,seaplane_base,Ferndale Resort Seaplane Base,39.00299835205078,-122.7969970703125,1326.0
16831,CN22,closed,Northrop Anaheim Heliport,33.865002,-117.917,160.0
16832,CN23,small_airport,Harvard Airport,34.961700439453125,-116.6750030517578,1825.0
16833,CN24,closed,Flying R Airport,38.283001,-121.254997,70.0
16834,CN25,heliport,The Westin Bonaventure Hotel Heliport,34.052762,-118.255854,679.0
16835,CN26,heliport,Rodgers Flat Heliport,39.96659851074219,-121.28399658203124,1560.0
