id,ident,type,name,latitude_deg,longitude_deg,elevation_ft
6523,00A,heliport,Total Rf Heliport,40.07080078125,-74.93360137939453,11.0
323361,00AA,small_airport,Aero B Ranch Airport,38.704022,-101.473911,3435.0
6524,00AK,small_airport,Lowell Field,59.947733,-151.692524,450.0
6525,00AL,small_airport,Epps Airpark,34.86479949951172,-86.77030181884766,820.0
6526,00AR,closed,Newport Hospital & Clinic Heliport,35.6087,-91.254898,237.0
322127,00AS,small_airport,Fulton Airport,34.9428028,-97.8180194,1100.0
6527,00AZ,small_airport,Cordes Airport,34.305599212646484,-112.16500091552734,3810.0
6528,00CA,small_airport,Goldstone (GTS) Airport,35.35474,-116.885329,3038.0
324424,00CL,small_airport,Williams Ag Airport,39.427188,-121.763427,87.0
322658,00CN,heliport,Kitchen Creek Helibase Heliport,32.7273736,-116.4597417,3350.0
6529,00CO,closed,Cass Field,40.622202,-104.344002,4830.0
6531,00FA,small_airport,Grass Patch Airport,28.64550018310547,-82.21900177001953,53.0
6532,00FD,heliport,Ringhaver Heliport,28.846599578857425,-82.34539794921875,25.0
6533,00FL,small_airport,River Oak Airport,27.230899810791016,-80.96920013427734,35.0
6534,00GA,small_airport,Lt World Airport,33.76750183105469,-84.06829833984375,700.0
6535,00GE,heliport,Caffrey Heliport,33.887982,-84.736983,957.0
6536,00HI,heliport,Kaupulehu Heliport,19.832881,-155.978347,43.0
6537,00ID,small_airport,Delta Shores Airport,48.145301818847656,-116.21399688720705,2064.0
322581,00IG,small_airport,Goltl Airport,39.724028,-101.395994,3359.0
6538,00II,closed,Bailey Generation Station Heliport,41.644501,-87.122803,600.0
6539,00IL,small_airport,Hammer Airport,41.978401,-89.560402,840.0
6540,00IN,heliport,St Mary Medical Center Heliport,41.51139831542969,-87.2605972290039,634.0
6541,00IS,small_airport,Hayenga's Cant Find Farms Airport,40.02560043334961,-89.1229019165039,820.0
6542,00KS,small_airport,Hayden Farm Airport,38.72779846191406,-94.93049621582033,1100.0
6543,00KY,small_airport,Robbins Roost Airport,37.409400939941406,-84.61969757080078,1265.0
45437,00LA,heliport,Shell Chemical East Site Heliport,30.191944,-90.980833,15.0
6544,00LL,heliport,Ac & R Components Heliport,39.66529846191406,-89.70559692382812,600.0
6545,00LS,small_airport,Lejeune Airport,30.136299,-92.429398,12.0
6546,00MD,small_airport,Slater Field,38.75709915161133,-75.75379943847656,45.0
6547,00MI,heliport,Dow Chemical Heliport,43.94940185546875,-86.41670227050781,588.0
6548,00MN,small_airport,Battle Lake Municipal Airport,46.29999923706055,-95.70030212402344,1365.0
6549,00MO,small_airport,Cooper Flying Service Airport,37.202800750732,-94.412399291992,970.0
324642,00MT,heliport,Livingston Healthcare Heliport,45.675,-110.52515,4465.0
6551,00N,small_airport,Bucks Airport,39.47320175170898,-75.1852035522461,105.0
6552,00NC,small_airport,North Raleigh Airport,36.08520126342773,-78.37139892578125,348.0
6553,00NJ,heliport,Colgate-Piscataway Heliport,40.52090072631836,-74.47460174560547,78.0
321919,00NK,seaplane_base,Cliche Cove Seaplane Base,44.8118612,-73.3698057,96.0
6554,00NY,small_airport,Weiss Airfield,42.90010070800781,-77.49970245361328,1000.0
6555,00OH,closed,Exit 3 Airport,41.590476,-84.141583,785.0
6556,00OI,heliport,Miami Valley Hospital Heliport,39.745091,-84.187278,905.0
328503,00OK,small_airport,Gull Bay Landing Airport,36.198598,-96.217693,960.0
6557,00OR,heliport,Steel Systems Heliport,44.932899475097656,-123.12999725341795,195.0
6558,00PA,heliport,R J D Heliport,39.94889831542969,-75.74690246582031,402.0
45773,00PN,small_airport,Ferrell Field,41.2995,-80.211111,1301.0
6559,00PS,closed,Thomas Field,40.3778,-77.365303,815.0
6560,00S,small_airport,McKenzie Bridge State Airport,44.181466,-122.086,1620.0
6561,00SC,small_airport,Flying O Airport,34.0093994140625,-80.26719665527344,150.0
330391,00SD,small_airport,Homan Field,44.809158,-96.498897,1590.0
6562,00TA,closed,SW Region FAA Heliport,32.8269,-97.305801,598.0
6563,00TE,heliport,Tcjc-Northeast Campus Heliport,32.847599029541016,-97.1894989013672,600.0
6564,00TN,small_airport,Ragsdale Road Airport,35.515899658203125,-85.95359802246094,1100.0
6565,00TS,small_airport,Alpine Range Airport,32.607601165771484,-97.24199676513672,670.0
6566,00TX,closed,San Jacinto Methodist Hospital Heliport,29.7377,-94.980201,19.0
6567,00UT,closed,Clear Creek Ranch Airport,37.247799,-112.821998,6138.0
6568,00VA,small_airport,Vaughan Airport,36.57600021,-78.9991684,551.0
6569,00VI,small_airport,Groundhog Mountain Airport,36.66329956054688,-80.49949645996094,2680.0
6570,00W,small_airport,Lower Granite State Airport,46.672884,-117.441933,719.0
6571,00WA,small_airport,Howell Airport,47.17839813232422,-122.77200317382812,150.0
6572,00WI,small_airport,Northern Lite Airport,44.304298400878906,-89.05010223388672,860.0
6573,00WN,small_airport,Hawks Run Airport,46.25,-117.2490005493164,2900.0
6574,00WV,small_airport,Lazy J. Aerodrome,38.82889938354492,-79.86609649658203,2060.0
322300,00WY,heliport,Mountain View Regional Hospital Heliport,42.840361,-106.224443,5210.0
6575,00XS,small_airport,L P Askew Farms Airport,33.03340148925781,-101.93399810791016,3110.0
6576,01A,small_airport,Purkeypile Airport,62.94359970092773,-152.27000427246094,1950.0
6577,01AK,heliport,Providence Seward Medical Center Heliport,60.1058739754,-149.446249008,120.0
6578,01AL,small_airport,Ware Island Airport,32.94599914550781,-86.51390075683594,344.0
6579,01AR,heliport,DeQueen Medical Center Heliport,34.047456,-94.354023,440.0
6580,01AZ,heliport,Yat Heliport,34.607406,-111.8609,3300.0
6581,01C,closed,Grant Airport,43.341701507568,-85.775001525879,815.0
6582,01CA,heliport,SCE Lugo Substation Heliport,34.368241,-117.370059,3733.0
